Year,MSHAID,MineName,STATE,MineCounty,MineStatus,MineType,CompanyType,OperationType,OperatingCompany,OperatingCompanyAddress,UnionCode,CoalSupplyRegion,Production,AverageEmployee,LabourHours,latitute,longitude
2013,103321,Poplar Springs,Alabama,Winston,Active,Surface,Indepedent Producer Operator,Mine only,"Reed Minerals, Inc.","P.O. Box 2420, Jasper, AL 35502", ,Appalachia Southern,189370,41,76366,32.3182,86.9023
2013,103358,Old Union,Alabama,Winston,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Co Inc,"912 Edenton St, Birmingham, AL 35242", ,Appalachia Southern,284563,60,161805,32.3182,86.9023
2013,5000030,Usibelli,Alaska,Fairbanks North Star,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine I,"P.O. Box 1000, Healy, AK 99743",INTE,Western,1631584,125,286079,64.2008,149.4937
2013,201195,Kayenta Mine,Arizona,Navajo,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 650, Kayenta, AZ 86033",United Mine Workers of America,Western,7602722,405,1015333,34.0489,111.0937
2013,301569,Penny #1,Arkansas,Sebastian,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Comer Mining Company,"P.O. Box 986, Greenwood, AR 72936", ,Interior,3973,2,2790,35.201,91.8318
2013,301736,Sebastian Mine,Arkansas,Sebastian,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Sebastian Management Llc,"P.O. Box 339, Hartford, AR 72938", ,Interior,54605,52,116473,35.201,91.8318
2013,504591,Bowie No 2 Mine,Colorado,Delta,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Bowie Resources Llc,"P.O. Box 1488, Paonia, CO 81428", ,Uinta Region,3320696,365,760650,39.5501,105.7821
2013,503672,West Elk Mine,Colorado,Gunnison,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Mountain Coal Company, L.L.C.","P.O. Box 591, Somerset, CO 81434", ,Uinta Region,5826798,357,747608,39.5501,105.7821
2013,504674,Elk Creek Mine,Colorado,Gunnison,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,"Oxbow Mining, Llc","P.O. Box 535, Somerset, CO 81434", ,Uinta Region,436381,262,411836,39.5501,105.7821
2013,504864,King Ii,Colorado,La Plata,Active,Underground,Operating Subsidiary,Mine only,Gcc Energy Llc,"6473 County Road 120, Hesperus, CO 81326", ,Western,734993,104,240773,39.5501,105.7821
2013,504461,New Elk Prep Plant,Colorado,Las Animas,"Active, men working, not producing",Underground,Indepedent Producer Operator,Preparation Plant,New Elk Coal Company Llc,"12250 Hwy 12, Weston, CO 81091", ,Western,0,18,33939,39.5501,105.7821
2013,502838,Trapper Mine,Colorado,Moffat,Active,Surface,Indepedent Producer Operator,Mine only,Trapper Mining Inc,"P.O. Box 187, Craig, CO 81626",International Union of Operation Engineers,Uinta Region,1944633,183,349809,39.5501,105.7821
2013,502962,Colowyo Mine,Colorado,Moffat,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Colowyo Coal Company L P,"5731 State Highway 13, Meeker, CO 81641", ,Uinta Region,2309118,243,485411,39.5501,105.7821
2013,500299,New Horizon Mine,Colorado,Montrose,Active,Surface,Operating Subsidiary,Mine only,"Western Fuels-Colorado, Llc","P.O. Box 628, Nucla, CO 81424",UNIT,Western,216486,27,51133,39.5501,105.7821
2013,503505,Deserado Mine,Colorado,Rio Blanco,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Blue Mountain Energy Inc,"3607 County Road #65, Rangely, CO 81648",UNIT,Uinta Region,1861494,164,324818,39.5501,105.7821
2013,4801645,Addcar System 18 Hwm Serial No,Colorado,Rio Blanco,Active,Surface,Indepedent Producer Operator,Mine only,Ugm Addcar Systems Llc,"No. 1 Hwm Drive, Ashland, KY 41102", ,Uinta Region,350060,17,35687,39.5501,105.7821
2013,503836,Foidel Creek Mine,Colorado,Routt,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Peabody Twentymile Mining Llc,"29515 Routt Cnty Rd#27, Oak Creek, CO 80467", ,Uinta Region,7235627,435,970682,39.5501,105.7821
2013,1103189,Mc#1 Mine,Illinois,Franklin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,M-Class Mining Llc,"11351 N. Thompsonville Rd., Macedonia, IL 62860", ,Illinois Basin,6493536,244,586485,40.6331,89.3985
2013,1103017,Wildcat Hills Mine - Cottage G,Illinois,Gallatin,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd., Suite, Evansville, IN 47715", ,Illinois Basin,2016232,190,454881,40.6331,89.3985
